Species,name,No,Date,FTime,psil,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,Rdark,gastar,gm,Cc,CC_A,Photo_raw,Photo_addition,gm_Ci100to300,Cc_fromgm100300,Amax,g1,HHMMSS,Pot,ap_Vcmax,ap_Jmax,ap_TPU,ap_Vjratio,Vcmax,Jmax,TPU,Vjratio
2 Alnus glutinosa ,Alnus glutinosa ,8,828,2292.5,-0.35,18.83935023,0.292079895,274.4690093,68,57,395.5839844,2358.943359,363.8137207,707.1237793,510.4362793,0.832304586,0.48550207,0.278151444,-0.864038656,0.87,0.92,19.82585144,0.879912926,0.018677958,0.572915052,0.827925939,2.335969498,1200.416626,0.5,146.9004147,4.191179467,1.500527702,24.88564682,2,4.644859791,0,4.644859791,24.74625397,24.88564682,24.87341499,399.6271057,391.4293518,14.79714012,16.44516182,47.62071991,52.92444229,500.2670593,1200.416626,0.160683945,100.7917404,5.070158005,0.661152601,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501335297,0.004191179,298.0356468,297.896254,192.0666559,0.022572506,3.158064183,31.33256922,14.8874074,24.81595039,3.144954228,0.274799825,1.657536481,1.487417747,0.173223076,27.66420913,0.701196801,54.20283589,385.9464191,0.026493952,1963.359375,1056.262105,343.3100586,0.63133989,0.841323092,-3.292110321,3.727031336,0.191370805,176.024786,9.343463754,18.86478054,-0.025430308,0.269617854,204.5947412,-,3.405260547,-,0828agwet8,94.8,99.5,7.3,0.952763819,123.2,95,6.9,1.296842105
2 Alnus glutinosa ,Alnus glutinosa ,7,808,oldlicor,-0.31,15.16847175,0.118,174,-,-,0,0,527.5,1036.6,733.8,0,0.491,0.292,-1,0.85,0.85,17,0.85,0.016,0.595,1.965,-1,1199,0.5,148.839,2.23,1.92,-,2,,0,4.64,22.74,26.16,20.6,400.59,394.17,13.861,14.739,50.44,53.64,500.3,1199,1105,101,-4.28,0.09,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.441433899,-,-,-,-,-,-,-,-,-1,3.887012276,0.292272676,122.1016427,8.049699713,15.2,-0.03152825,0.305457591,124.3418079,-,1.247404065,-,0808agwet7,99.5,128.1,8.9,0.776736924,99.4,119.5,8.2,0.831799163
2 Alnus glutinosa ,Alnus glutinosa ,6,808,oldlicor,-0.3,15.46900575,0.178,241,-,-,290.3,1290.5,252.4,447.8,346,0.775,0.436,0.227,-1,0.85,0.85,17,0.85,0.016,0.521,0.812,1.882,1201.9,0.5,116.159,3.08,1.78,-,2,,0,4.64,21.89,24.58,20.12,400.61,393.93,11.865,13.079,45.54,50.2,500.3,1202,235,101.2,42.2,1.86,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.611783819,-,-,-,-,-,-,-,-,-1.379333333,3.689452799,0.229123844,173.4862683,11.21508849,15.5,-0.03099425,0.1596038,144.0787127,-,2.424380201,-,0808agwet6,75.3,112.7,8.4,0.668145519,123,114.4,8.3,1.075174825
3 Q.robur ,Q.robur ,6,811,oldlicor,-1,2.858526,0.0182,131,-,-,550.8,3069.7,450.5,664.6,542.5,0.821,0.322,0.184,-0.843,0.85,0.85,16,0.85,0.004,0.57,0.918,3.619,1202.3,0.5,93.9,0.495,2.67,-,2,,0,4.64,27,31.39,24.86,399.88,398.64,19.038,19.232,53.77,54.32,500.3,1202,939,101.1,-6.63,0.326,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.328617299,-,-,-,-,-,-,-,-,-1.81,4.601787151,0.048000284,71.44772761,24.99460477,2.9,-0.041474,0.044779945,67.16503951,-,0.81562968,-,0811qrwet6,31,-,2,-,26.9,-,1.6,0.206923077
3 Q.robur ,Q.robur ,9,811,4182,-0.96,1.626997848,0.013341871,187.5788853,41,34,359.7692871,1470.893311,300.3525391,488.8022461,377.7783203,0.755407626,0.385533636,0.227134647,-1.230610136,0.87,0.92,19.84818077,0.87992409,0.002743994,0.589143531,0.839006285,2.009178706,1201.686279,0.5,120.0852597,0.319236984,2.339830551,31.17402077,2,4.644859791,0,4.644859791,25.82736397,31.17402077,24.054842,400.4364624,399.7173157,21.84360886,21.96845627,65.98641968,66.36356354,500.1687012,1201.686279,0.188088596,100.8948746,-0.923355103,0.418482363,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500843506,0.000319237,304.3240208,298.977364,192.2698004,0.458153005,4.556335191,45.15923341,23.19077714,28.50069237,3.907026411,0.013303658,2.21650464,1.690521772,0.008318211,18.9257481,0.469278858,47.01537128,399.2316879,0.001967693,1111.124023,1057.392706,188.449707,0.860430751,0.883871686,-1.230610136,4.570344696,0.012369171,56.04234968,34.44525126,1.670868876,-0.043871027,0.015336445,81.49186147,-,1.369155939,-,0811qrwet9,33.5,52.5,3.5,0.638095238,-,-,-,-
3 Q.robur ,Q.robur ,8,811,1892.5,-0.68,6.074736802,0.03873446,132.4032435,54,46,350.0178223,1474.953857,274.0195313,449.119873,345.8811035,0.762692358,0.389874402,0.229869074,-0.573450053,0.87,0.92,19.84818077,0.87992409,0.00632343,0.589597761,0.854196572,2.284098402,1201.690186,0.5,121.5313364,0.948599166,2.410087189,30.68648338,2,4.644859791,0,4.644859791,25.49281502,30.68648338,23.68023872,399.7565613,397.1611938,19.67569733,20.04745865,60.58648682,61.73123169,500.0962219,1201.690186,0.463690847,100.8243027,-0.52539444,0.390015185,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50048111,0.000948599,303.8364834,298.642815,192.2704254,0.35582663,4.431358227,43.95129061,23.90383196,28.0896492,3.814717697,0.038414116,2.021271039,1.793446659,0.0240374,13.3494647,0.33337407,44.27968004,395.384511,0.006845948,1124.936035,1057.396143,175.1003418,1.04174201,0.911904279,-2.667425368,4.499994868,0.134974235,87.39660368,14.38689552,6.112920458,-0.038183656,0.090270438,65.10838011,-,0.841277343,-,0811qrwet8,95,-,3.3,-,159.9,-,3.4,-
3 Q.robur ,Q.robur ,6,810,oldlicor,-0.64,12.96811575,0.0881,146,-,-,0,0,517.3,848.4,661.2,0,0.39,0.221,-1,0.85,0.85,17,0.85,0.014,0.565,1.64,-1,1201.9,0.5,112.705,1.42,1.63,-,2,,0,4.64,22.17,25.08,21.1,399.77,394.33,14.904,15.464,56.31,58.43,500.3,1202,1,101.3,-1.34,-0.0148,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.370248269,-,-,-,-,-,-,-,-,-1.75,3.75108489,7.719089563,144.3199941,11.12883297,13,-0.03188425,0.294457271,101.9592612,-,0.836652434,-,0810qrwet6,95.3,-,5.4,0.733076923,128.8,-,5.3,0.990769231
3 Q.robur ,Q.robur ,6newtopleaf,810,313.5,-0.64,12.65744344,0.081162692,133.6799428,93,85,0,0,322.1101074,563.8894043,414.0187988,#DIV/0!,0.428770775,0.265780141,-1,0.87,0.92,19.94531631,0.879972658,0.012945961,0.619865338,1.750610711,-1,1201.739624,0.5,140.5309854,1.359251484,1.68194278,25.13231468,2,4.644859791,0,4.644859791,21.93617439,25.13231468,20.71747971,400.0681152,394.7797546,14.53253365,15.06779766,55.56929016,57.61602402,500.2281189,1201.739624,0.359229237,101.0701294,-0.554376602,0.258371711,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501140594,0.001359251,298.2823147,295.0861744,192.2783355,0.385188334,3.204847039,31.70914155,16.64134389,23.53424454,2.912199215,0.079768838,1.522904259,1.389294955,0.049978907,13.51104912,0.338619043,47.18480487,391.0913886,0.015310761,0,1057.498011,241.7792969,0.265780141,#DIV/0!,-1,3.757580559,0.422501244,103.721585,8.194513013,12.6903284,-0.032884954,0.271510887,87.06139445,-,0.729696833,-,0810qrwet6newtopleaf,111.7,-,7.2,-,175.8,-,7.7,-
3 Q.robur ,Q.robur ,7,810,3279,-0.56,10.34886411,0.066913119,137.1874516,82,74,371,2258,325.7663574,525.4521484,413.4614258,0.835695306,0.380026595,0.213132105,-1.23,0.87,0.92,19.94531631,0.879972658,0.011012031,0.56083471,0.896655463,3.297251437,1198.557861,0.5,112.3950183,1.146790982,1.716457628,25.17127991,2,4.644859791,0,4.644859791,21.05524635,25.17127991,19.55692673,400.2909851,395.9572449,14.34619617,14.79795361,57.90443039,59.72782516,500.1891479,1198.557861,0.314811945,101.0838852,-0.607408524,0.275106788,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50094574,0.001146791,298.3212799,294.2052464,191.7692535,0.380002487,3.212292271,31.77848047,16.98052686,23.11326313,2.839109984,0.065962869,1.495834643,1.343275341,0.041311127,13.86744061,0.346470366,46.06882714,392.9390917,0.012174805,1887,1054.698147,199.685791,0.725083618,0.918149365,-1.227856577,3.762424512,0.359810237,108.4254459,10.47703833,10.38436898,-0.03550487,0.201599606,85.8537,-,0.754882434,-,0810qrwet7,65.9,74.6,5,0.883378016,84.1,-,4.8,-
3 Q.robur ,Q.robur ,8,828,oldlicor,-0.451,12.96758175,0.0872,144,-,-,0,0,487.8,775.4,628,0,0.371,0.19,-1,0.85,0.85,16,0.85,0.014,0.512,1.589,-1,1200.5,0.5,96.955,1.55,1.78,-,2,,0,4.64,23.47,25.17,23.25,400.03,394.57,13.548,14.157,47.19,49.3,500.3,1200,2,101,-4.44,0.569,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.364954254,-,-,-,-,-,-,-,-,-2.665,3.762265322,-0.242593863,197.453874,15.22673061,13,-0.03241825,0.397722703,111.3954199,-,0.852901923,-,0828qrwet8,121.4,129.2,8.5,0.939628483,116.1,,7.8,-
