Species,name,No,Date,FTime,psil,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,Rdark,gastar,gm,Cc,CC_A,Photo_raw,Photo_addition,gm_Ci100to300,Cc_fromgm100300,Amax,g1,HHMMSS,Pot,ap_Vcmax,ap_Jmax,ap_TPU,ap_Vjratio,Vcmax,Jmax,TPU,Vjratio
3 Q.robur ,Q.robur ,9,810,oldlicor,-0.446,9.16317625,0.0561,125,-,-,553,3210,511.1,856.7,651.8,0.828,0.403,0.239,-0.61,0.85,0.85,16,0.85,0.01,0.593,0.872,2.747,1200.4,0.5,122.037,0.899,1.6,-,2,,0,4.64,21.19,25.07,19.73,400.37,396.55,15.349,15.702,61.56,62.98,500.2,1200,0,101.3,-1.28,-0.00314,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.315218762,-,-,-,-,-,-,-,-,-0.608,3.749844257,0.241016924,86.9811916,9.49247174,9.2,-0.03682375,0.194860485,77.97570842,-,0.620228558,-,0810qrwet9,116.4,-,6.9,0.895384615,133.5,-,5.5,1.026923077
3 Q.robur ,Q.robur ,6,805,1656,-0.342,13.11777973,0.125688969,198.3223276,36,31,313.8510742,0,219.7470703,412.6147461,292.8752441,#DIV/0!,0.467427976,0.290196856,-1.34,0.87,0.92,9.876899719,0.87493845,0.016537922,0.620837584,1.877680305,-1,999.1012573,0.5,126.8380962,2.745767612,2.18578428,30.75302887,2,4.644859791,0,4.644859791,26.95633698,30.75302887,25.19731712,385.1588135,379.4962769,21.37716103,22.450634,60.34400177,63.37422943,500.0821533,999.1012573,0.203761265,100.7746353,1.195427179,0.469449282,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500410767,0.002745768,303.9030289,300.106337,159.8561976,-0.025112812,4.448238734,44.14045975,21.68982575,28.85468292,3.98807804,0.12237746,2.262454454,1.725623586,0.076776693,19.98586024,0.522593606,50.50859748,375.6840004,0.017634609,-313.8510742,874.1521053,192.8676758,1.212384065,1.314683237,-1.478728014,4.50954617,0.261607659,148.1793778,11.2960715,13.11665895,0.001120784,0.187837136,128.4864048,-,1.854741101,-,0805qr6wet,97.5,-,6.4,-,123,-,5.4,-
3 Q.robur ,Q.robur ,8,829,oldlicor,-0.33,13.467337,0.0998,164,-,-,567.2,2760,478.5,810.3,628.9,0.794,0.41,0.224,-2.7,0.85,0.85,17,0.85,0.016,0.547,0.855,2.406,1198.6,0.5,114.044,2.35,2.37,-,2,,0,4.64,23.45,27.65,21.38,400.45,394.68,12.401,13.328,43.3,46.53,500,1199,418,101.1,-4.79,0.912,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.415526502,-,-,-,-,-,-,-,-,-2.54,4.080951298,-2.40532186,169.598975,12.59335643,13.5,-0.032663,0.162715962,81.23407566,-,1.246477323,-,0829qrwet8,94.8,100.1,6.9,0.947052947,100.5,83,5.5,1.210843373
3 Q.robur ,Q.robur ,7,805,2501,-0.265,16.72452054,0.177360783,234.2555656,50,44,254.0097656,1395.061401,241.7854004,517.088623,342.3283691,0.817922161,0.532410133,0.337969636,-1.6,0.87,0.92,19.87496376,0.879937482,0.020895883,0.634791893,0.761285917,1.697915481,999.1022949,0.5,148.5625902,3.449358732,1.969784986,29.51363373,2,4.644859791,0,4.644859791,25.79528046,29.51363373,23.99512672,407.9534912,400.6939087,20.22660828,21.57630348,61.10951233,65.18727112,500.1031799,999.1022949,0.18547608,100.7161331,1.551792383,0.454558611,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.5005159,0.003449359,302.6636337,298.9452805,159.8563636,-0.143096881,4.142866839,41.13409353,19.55779005,27.65445709,3.719064983,0.170837472,2.173081854,1.545983129,0.107340943,23.59331473,0.584624724,52.71985131,395.819647,0.022336983,1141.051636,879.1475575,275.3032227,0.664288478,0.76944176,-2.033561353,4.334273595,0.22576206,160.1752684,9.577271172,16.77056448,-0.046043947,0.217590748,157.3932878,-,2.302894565,-,0805qr7wet,110.6,108.5,6.8,1.019354839,101.6,-,5.8,-
3 Q.robur ,Q.robur ,9,804,1543.5,-0.25,20.63722801,0.184973041,188.1776107,27,27,0,0,374.5688477,926.4581299,554.9748535,#DIV/0!,0.595698029,0.400971468,-1,0.87,0.92,9.915995598,0.874957998,0.02473957,0.67311196,2.473398778,-1,999.6376953,0.5,175.3530421,3.016718435,1.661142943,28.80681229,2,4.644859791,0,4.644859791,25.04846382,28.80681229,23.25400352,389.1512146,380.4558105,21.73038673,22.90686417,68.89408875,72.62399292,501.0916138,999.6376953,0.03134986,101.100235,2.29478097,0.471564591,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.505458069,0.003016718,301.9568123,298.1984638,159.9420277,-0.067270766,3.977032293,39.3375178,16.43065363,26.92763805,3.563976465,0.177888939,2.31588935,1.248087115,0.111796063,19.02480066,0.494610952,58.54094596,374.4574321,0.032264875,0,874.6409964,551.8892822,0.400971468,#DIV/0!,-2.408146315,4.236766577,0.947980478,166.4079345,8.063482869,20.63824219,-0.001014178,0.599063241,153.7284464,-,1.443208749,-,0804qr9wet,143,142.7,9.8,1.002102313,170.6,137.8,9.7,1.238026125
3 Q.robur ,Q.robur ,8,805,222,-0.22,19.35983761,0.20798502,214.3929835,20,18,263.8601074,1400.702515,233.2705078,526.8410645,332.4851074,0.811623022,0.557227932,0.36890814,-1.34,0.87,0.92,9.876899719,0.87493845,0.023624873,0.662041723,0.748533058,1.658681354,1001.276306,0.5,161.5919359,4.043080759,1.980181794,30.18002892,2,4.644859791,0,4.644859791,26.86307335,30.18002892,25.09870911,386.9356689,378.5858154,21.47861099,23.05759239,60.98730087,65.47073364,500.3044434,1001.276306,0.052247703,100.8137817,1.59240365,0.475163698,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501522217,0.004043081,303.3300289,300.0130733,160.2042054,-0.228644704,4.30470488,42.69956752,19.64197513,28.52155113,3.911762196,0.199071121,2.324523087,1.58723911,0.125190737,21.61376745,0.566299567,54.47427361,372.9599119,0.028272253,1136.842407,876.0551392,293.5705566,0.739049546,0.76867422,-3.096035668,4.427828039,0.645020961,184.3787068,9.523773416,19.35669105,0.003146561,0.397790855,165.7246007,-,2.152680296,-,0805qr8wet,134,157.6,10.2,0.850253807,174.7,-,10.2,-
4 Q.pubescens ,Q.pubescens ,6,818,2193.5,-1.8,4.085231212,0.038654966,215.1119143,15,12,483.8283691,1840.858887,435.1311035,846.3103027,711.9362793,0.737172484,0.485849219,0.158776306,-0.884803137,0.87,0.92,19.84818077,0.87992409,0.004753776,0.326801608,0.707497281,1.175158309,1197.737671,0.5,83.66862164,0.854579046,2.18018476,29.63630486,2,4.644859791,0,4.644859791,25.96818542,29.63630486,24.13385963,399.785553,398.0028992,19.41170692,19.74612999,58.14674759,59.14849472,500.9848328,1197.737671,0.186784014,100.8840103,1.811408997,0.37714839,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.504924164,0.000854579,302.7863049,299.1181854,191.6380231,0.442203227,4.172253541,41.35693583,21.61080584,27.80224514,3.751310529,0.03833593,1.992068782,1.759241747,0.023988417,21.70135258,0.54047826,46.54373696,396.8039096,0.004838821,1357.030518,1053.918231,411.1791992,0.370705437,0.732885938,-0.894282947,4.351376271,0.029926342,78.6023752,19.24061849,4.125287663,-0.040056451,0.020608418,16.88072685,-,1.908921589,-,0818qpwet6,30.5,27.6,1.9,1.105072464,12.1,13.8,1,0.876811594
4 Q.pubescens ,Q.pubescens ,8,818,2054.5,-1.113,7.780176928,0.076997005,221.7007196,28,23,412.3442383,1187.019775,389.1669922,759.7583008,592.5932617,0.652622267,0.487775268,0.220023972,-0.138625556,0.87,0.92,19.91290855,0.879956454,0.00754154,0.451076523,0.535514175,0.562364997,1198.800049,0.5,116.0507463,1.543691364,1.99439779,28.74637222,2,4.644859791,0,4.644859791,25.15048027,28.74637222,23.29635239,399.8622437,396.4973755,18.92266655,19.52688026,59.46449661,61.36323929,500.9975281,1198.800049,0.159353808,100.8213577,1.908592224,0.38842082,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50498764,0.001543691,301.8963722,298.3004803,191.8080035,0.326616196,3.96312437,39.30838128,19.78150101,26.94842625,3.568332547,0.075741453,1.96872658,1.599605966,0.047449633,22.35216756,0.559148013,48.99632356,394.2254462,0.009715217,774.6755371,1054.89184,370.5913086,0.481169466,0.551536036,-0.816880582,4.228510387,0.059520015,90.9854153,11.69451751,7.816883588,-0.03670666,0.053995896,77.6124178,-,2.00624998,-,0818qpwet8,55.6,56.1,3.9,0.991087344,70.5,46.8,3.3,1.506410256
4 Q.pubescens ,Q.pubescens ,6,817,2229.5,-0.98,7.09218931,0.075229591,234.9540854,27,23,465.0979004,1716.210083,456.5446777,1015.938965,859.8032227,0.728997105,0.550618006,0.153686144,-1.185415666,0.87,0.92,19.93251801,0.879966259,0.007861886,0.279115725,0.555918354,0.689284635,1201.794434,0.5,81.26451115,1.144901779,1.52444855,25.01243782,2,4.644859791,0,4.644859791,21.80831718,25.01243782,20.17009354,399.5007629,396.4685364,15.96269894,16.41301346,61.46883011,63.20289612,500.1439819,1201.794434,0.220754787,100.9922791,1.873908997,0.321601152,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50071991,0.001144902,298.1624378,294.9583172,192.2871051,0.422851926,3.182036185,31.50771737,15.09470392,23.4103775,2.890524946,0.074030569,1.657587635,1.232937311,0.046375357,23.72854856,0.592617229,51.69828065,394.3965852,0.009344613,1251.112183,1057.538552,559.3942871,0.283449714,0.559718887,-1.185415666,3.742709262,0.054316504,104.3825504,14.71795885,7.128831803,-0.036642493,0.053350365,102.0179874,-,1.967465902,-,0817qpwet6,35.7,35.1,2.3,1.017094017,47.5,26,1.8,1.826923077
4 Q.pubescens ,Q.pubescens ,9,818,oldlicor,-0.8,8.3640885,0.0805,214,-,-,710,2123.7,614.8,1070.1,858.4,0.666,0.425,0.198,85.3,0.85,0.85,17,0.85,-0.075,0.465,0.698,0.985,1199.4,0.5,100.826,2.09,2.6,-,2,,0,4.64,25.37,29.85,23.2,399.83,396.14,15.286,16.11,47.53,50.07,500.2,1199,456,101,-2.96,0.435,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.540213056,-,-,-,-,-,-,-,-,-2.4525,4.381297386,0.091847733,122.9352759,14.69798842,8.4,-0.0359115,0.099443074,129.8906883,-,2.182130062,-,0818qpwet9,72.9,70.3,5.1,1.036984353,78.6,60.9,4.3,1.290640394
4 Q.pubescens ,Q.pubescens ,6,815,2979.5,-0.562,7.187019286,0.073915525,230.7808174,40,34,484.4672852,1881.616455,464.9550781,967.2384033,819.5473633,0.742526016,0.519296301,0.152693524,-0.229085371,0.87,0.92,19.80233383,0.879901167,0.007053424,0.294039305,0.645445741,0.945349201,1201.058594,0.5,80.68423959,1.131037362,1.527195879,26.68176651,2,4.644859791,0,4.644859791,23.16057205,26.68176651,21.35251999,400.1622925,397.0988464,19.21861839,19.66123772,68.16804504,69.73800659,501.017334,1201.058594,0.314804196,100.9911118,7.862272263,0.362726688,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50508667,0.001131037,299.8317665,296.3105721,192.1693707,0.407834296,3.512806135,34.78331978,15.12208206,24.92116928,3.164764343,0.072757702,1.985610255,1.179154088,0.045576189,23.30681132,0.581167182,56.0083496,394.9989258,0.010244684,1397.14917,1056.812858,502.2833252,0.30592352,0.654459861,-0.418543066,3.954071616,0.057983459,106.8313426,14.8644853,7.225064219,-0.038044933,0.052978592,95.12188474,-,1.875898693,-,0815qpwet6,42.3,50.7,3.5,0.834319527,71.8,46.3,3.1,1.55075594
4 Q.pubescens ,Q.pubescens ,6night,815,2223.5,-0.562,8.709379172,0.103287102,248.9750616,69,59,444.1875,1751.555176,442.6330566,1013.183716,857.7900391,0.746403935,0.563126559,0.153371668,-0.788345862,0.87,0.92,19.87944221,0.879939721,0.009019203,0.27235737,0.564106488,0.728763647,1201.131226,0.5,81.05102767,1.703181648,1.662724316,24.89489365,2,4.644859791,0,4.644859791,22.87219238,24.89489365,21.93581009,399.4412537,395.6757813,14.15635681,14.82720852,51.08493805,53.5057869,500.2381897,1201.131226,0.26518032,100.9686203,8.346921921,0.262049198,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.501190948,0.001703182,298.0448936,296.0221924,192.1809918,0.376678406,3.159807103,31.29494187,16.46773335,23.88354301,2.974086907,0.101040284,1.497082787,1.47700412,0.063348268,25.13866846,0.629240083,47.30848013,393.1343164,0.01052255,1307.367676,1056.923076,570.5506592,0.273101424,0.564777204,-0.609542486,3.728172949,0.070410655,125.2810095,14.38460848,8.744257785,-0.034878613,0.072162245,128.2834288,-,2.45563219,-,0815qpwet6night,41.4,35.3,2.4,1.172804533,36,25,1.6,1.44
4 Q.pubescens ,Q.pubescens ,8,816,2033,-0.542,12.41081633,0.169573765,265.6088752,81,68,467,1855,415.3911133,880.8476563,687.5495605,0.748247978,0.528418892,0.219445547,-1,0.87,0.92,19.99825478,0.879999127,0.012749545,0.415287095,0.676678473,1.105926021,1198.13562,0.5,115.6871169,2.367113714,1.421460228,25.52204514,2,4.644859791,0,4.644859791,23.06472588,25.52204514,21.72494698,399.6279297,394.2794495,17.50656128,18.43562508,62.34577942,65.6544342,500.1754456,1198.13562,0.306980461,100.8122787,2.419681072,0.319487303,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500877228,0.002367114,298.6720451,296.2147259,191.7016949,0.237567373,3.279997602,32.53569548,14.1000704,24.29338551,3.048165305,0.163601045,1.858537374,1.189627931,0.102770999,26.77663597,0.673656402,57.09574511,390.6630876,0.018184949,1388,1054.3583,465.456543,0.467075487,0.701838864,-1.657988535,3.806254301,0.093407939,132.7420491,10.69567429,12.4425881,-0.031771775,0.095772726,136.0227513,-,2.798377086,-,0816qpwet8,56.9,69.4,4.8,0.819884726,64,57.6,4,1.111111111
4 Q.pubescens ,Q.pubescens ,9,811,oldlicor,-0.522,11.46707,0.157,265,-,-,778.4,2975.8,683.4,1317.8,1075.8,0.738,0.481,0.184,0.556,0.85,0.85,17,0.85,0.011,0.381,0.723,1.258,1198.2,0.5,93.51,2.62,1.7,-,2,,0,4.64,22.18,25.01,20.7,399.81,394.8,13.597,14.628,51.21,55.09,500.3,1198,1,101.1,-3.59,0.243,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.671225937,-,-,-,-,-,-,-,-,-2.18,3.742407326,0.11532025,165.5632572,14.43814829,11.5,-0.03293,0.140345284,183.2938704,-,3.072929839,-,0811qpwet9,51.6,84.5,5.9,0.610650888,71,84.5,5.7,0.840236686
4 Q.pubescens ,Q.pubescens ,9,815,1906,-0.508,10.29107993,0.18667171,297.6212752,54,46,534.3479004,1657.870605,431.1662598,786.2763672,638.4714355,0.677690226,0.451635229,0.18798089,-1.088230155,0.87,0.92,19.81399727,0.879906999,0.010813063,0.416222824,0.710516957,1.108508757,1199.692993,0.5,99.21803033,2.155308692,1.181445693,24.9681797,2,4.644859791,0,4.644859791,22.39601517,24.9681797,20.95485878,400.2709656,395.8005981,18.88879204,19.73364639,70.15156555,73.28929138,500.1516724,1199.692993,0.300440699,100.9547195,7.759405136,0.333696842,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500758362,0.002155309,298.1181797,295.5460152,191.9508746,0.271473209,3.17365043,31.43637509,11.70272869,23.68209743,2.93825651,0.179459436,1.992204737,0.946051773,0.112788569,30.04627237,0.751947512,63.27189576,392.7993409,0.016633443,1123.522705,1055.618261,355.1101074,0.586694047,0.775769136,-1.247781823,3.737230707,0.059228162,123.8681225,12.03645519,10.32623627,-0.035156331,0.057946641,120.025476,-,3.764245008,-,0815qpwet9,42.8,65.7,4.6,0.651445967,61,53.8,3.9,1.133828996
4 Q.pubescens ,Q.pubescens ,8,815,2005,-0.482,13.85833748,0.196767165,270.3790104,14,12,464.4941406,1891.316772,422.4951172,1014.96167,759.5805664,0.75440701,0.583732933,0.2516165,-1.229778453,0.87,0.92,19.81399727,0.879906999,0.01431795,0.431047293,0.596638196,0.863436648,1200.105835,0.5,132.8511877,2.386664341,1.245277542,25.11849976,2,4.644859791,0,4.644859791,21.76431847,25.11849976,19.97104454,400.0209961,394.100769,18.42721558,19.36152077,71.20722198,74.81760406,501.004364,1200.105835,0.355310768,101.0733337,7.714086533,0.365553379,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50502182,0.002386664,298.2684998,294.9143185,192.0169293,0.196073051,3.202210992,31.68205573,12.32053496,23.44140911,2.895941572,0.188770407,1.95693345,0.939008122,0.118674815,27.32810796,0.686065676,61.71528985,390.0638096,0.021976086,1426.822632,1055.981523,592.4665527,0.46393491,0.61420045,-1.85558,3.755864354,0.096206366,126.3309802,9.115882794,13.88971169,-0.031374211,0.09847873,129.6548418,-,2.766916384,-,0815qpwet8,64,90.4,6.6,0.707964602,76.1,78.7,5.7,0.966963151
4 Q.pubescens ,Q.pubescens ,7,805,3173,-0.45,12.50998931,0.282757339,316.0390552,66,58,334.3999939,1131.5,279.0964355,540.4143066,420.0039063,0.704463107,0.483550986,0.222811274,-0.8,0.87,0.92,19.8672142,0.879933607,0.012646608,0.460781346,0.693434094,1.093763962,1199.91272,0.5,117.626921,3.985233001,1.460403491,27.38354111,2,4.644859791,0,4.644859791,23.54528809,27.38354111,21.76197815,404.914917,399.2581482,20.31110954,21.87011337,70.11814117,75.50013733,500.0726013,1199.91272,0.167193115,100.602066,1.744655848,0.444510698,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500363007,0.003985233,300.5335411,296.6952881,191.9860309,-0.111027777,3.660582081,36.38674855,14.51663518,25.4644146,3.2687888,0.266532111,2.20017859,1.06861021,0.167968085,31.79418191,0.791565699,61.26562237,395.6097426,0.019439801,797.1000061,1055.843528,261.3178711,0.584475898,0.741545212,-0.858231477,4.045715379,0.06875141,134.0793057,10.7177794,12.55283869,-0.04284938,0.085946996,170.4843538,-,5.583385476,-,0805qp7wet,63.8,82.7,6.2,0.77146312,93.5,76.5,5.6,1.222222222
4 Q.pubescens ,Q.pubescens ,7,815,1911,-0.434,11.89732595,0.204812636,289.5567701,27,23,456.6835938,1418.555176,398.8193359,825.685791,616.7851563,0.678064272,0.516984136,0.253002579,-1.379398777,0.87,0.92,19.8672142,0.879933607,0.01260884,0.489381708,0.581395065,0.718032684,1199.628662,0.5,133.5339487,3.097565128,1.550449498,27.16825867,2,4.644859791,0,4.644859791,23.99530983,27.16825867,22.21915817,400.1206665,394.8698425,19.22132874,20.4325943,64.85565948,68.94265747,501.0088501,1199.628662,0.186790243,101.0264893,7.791021347,0.382164478,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,2.50504425,0.003097565,300.3182587,297.1453098,191.9405816,0.075419537,3.614682767,35.77955438,15.34696008,25.58178425,3.291651937,0.196162935,2.064233268,1.227418669,0.123350682,29.25290392,0.733296745,57.73033826,391.4023417,0.017596897,961.871582,1055.593576,426.8664551,0.56612301,0.616370621,-1.793767598,4.017424089,0.067611429,113.5905751,9.547571912,11.93041135,-0.0330854,0.074495843,129.8522091,-,4.019176937,-,0815qpwet7,59,86.3,5.9,0.683661645,86.8,74.9,5.2,1.158878505
4 Q.pubescens ,Q.pubescens ,9,816,1894,-0.358,10.46599542,0.171681697,287.2432862,2,1,504.3942871,1542.584717,468.2424316,958.8851318,772.2868652,0.673020041,0.511680371,0.194599186,-2.698967595,0.87,0.92,19.81399727,0.879906999,0.012490183,0.380313957,0.543308769,0.608727329,1200.994873,0.5,102.8226873,2.187317504,1.300670755,24.87127304,2,4.644859791,0,4.644859791,22.25923157,24.87127304,20.76227951,399.9203491,395.3754883,17.51272392,18.37136078,65.58480072,68.80037689,500.1260986,1200.994873,0.297842562,100.9552765,0.170203805,0.275828093,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500630493,0.002187318,298.021273,295.4092316,192.1591754,0.265017292,3.155356561,31.254994,12.88363323,23.5652523,2.91764715,0.165562242,1.854685807,1.062961343,0.10400933,28.99872538,0.726507572,59.23678663,392.3236679,0.015854217,1038.19043,1056.763794,490.6427002,0.410565513,0.562227861,-2.144606549,3.725257303,0.065160676,126.6250108,12.09870689,10.50020588,-0.034210461,0.067109509,131.2893005,-,3.455528743,-,0816qpwet9,44.1,64.6,4.5,0.682662539,62.3,53.6,4,1.162313433
4 Q.pubescens ,Q.pubescens ,9,805,oldlicor,-0.32,14.77278825,0.204,261,-,-,264,1131,255.7,544.8,405.9,0.767,0.531,0.255,-0.8,0.85,0.85,10,0.85,0.015,0.48,0.67,1.076,1198.2,0.5,129.805,4.02,2.02,-,2,,0,4.64,26.89,29.68,24.82,398.8,392.23,19.885,21.46,56.45,60.92,500.1,1198,803,101,-6.81,0.451,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.665425898,-,-,-,-,-,-,-,-,-0.876,4.35748113,0.141868835,156.8700956,10.61885495,14.8,-0.02721175,0.12113353,139.0454243,-,3.366467638,-,0805qpwet9,85.9,118.6,9.2,0.724283305,120,118.1,8.6,1.016088061
4 Q.pubescens ,Q.pubescens ,8,804,140,-0.25,11.52866049,0.183840899,267.0876986,38,38,0,0,449.6672363,911.4309082,693.0041504,#DIV/0!,0.506635959,0.239652568,-1,0.87,0.92,9.955401421,0.874977701,0.014330451,0.473027159,2.02690086,-1,999.0092773,0.5,104.7414539,2.814658624,1.559477772,28.30856514,2,4.644859791,0,4.644859791,24.34932709,28.30856514,22.56572914,384.0208435,378.9851685,21.69919014,22.79904175,71.70438385,75.33880615,500.1560364,999.0092773,0.156742722,101.0640106,1.476997614,0.438964188,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500780182,0.002814659,301.4585651,297.4993271,159.8414808,-0.040360862,3.86364037,38.22963631,15.43059456,26.32894611,3.440498759,0.176841609,2.304162597,1.136336162,0.111134236,26.992954,0.704744462,59.95176078,375.6350903,0.018396261,0,874.1108405,461.7636719,0.239652568,#DIV/0!,-1.098070944,4.169086444,0.095888182,146.8574447,12.73846557,11.52640249,0.002258,0.112216321,164.3516577,-,3.442435149,-,0804qp8wet,65.2,74.1,5.5,0.879892038,83.8,66.5,5,1.260150376
4 Q.pubescens ,Q.pubescens ,6,807,845,-0.25,11.18597897,0.159521883,270.6479669,46,41,0,0,498.9477539,1083.715698,909.8273926,#DIV/0!,0.539595343,0.160455649,-1,0.87,0.92,19.87944221,0.879939721,0.011595741,0.297362924,2.172002358,-1,1197.664673,0.5,84.54991547,2.613564982,1.654251654,25.92032242,2,4.644859791,0,4.644859791,21.9419117,25.92032242,20.19409943,400.3860168,395.4858398,15.98881435,17.01614761,60.55870438,64.44979858,500.1477661,1197.664673,0.05747607,100.14785,1.294015408,0.376850009,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500738831,0.002613565,299.0703224,295.0919117,191.6263434,0.125526763,3.358382254,33.53424215,16.51809454,23.93111706,2.982604285,0.154225211,1.704130599,1.278473686,0.096853036,27.104812,0.684343002,51.14325378,392.2246893,0.014630633,0,1053.872718,584.7679443,0.160455649,#DIV/0!,-1.979746328,3.856513262,0.144514828,193.2442904,17.27558141,11.22043496,-0.034455994,0.12114798,178.3147812,-,3.21915659,-,0807qpwet6,54.4,73.1,5.5,0.744186047,66.2,69.8,5.2,0.948424069
5 Q.ilex ,Q.ilex ,6,811,oldlicor,-1.65,3.087725,0.0288,211,-,-,694.5,3118,545.2,898,755.1,0.777,0.393,0.159,-1.35,0.85,0.85,16,0.85,0.004,0.405,0.863,2.472,1202.6,0.5,81.346,0.747,2.55,-,2,,0,4.64,27.02,31.88,24.85,400.37,399,21.348,21.64,60.26,61.09,500.4,1203,1067,101.2,-6.56,0.354,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.528822055,-,-,-,-,-,-,-,-,-2.29,4.673757953,0.024032436,82.51843256,26.72467029,3.13,-0.042275,0.033370472,118.4713422,-,1.98845847,-,0811qiwet6,52.2,-,3.3,-,61.8,-,3.3,-
5 Q.ilex ,Q.ilex ,6new,810,3721.5,-1.21,5.249458121,0.030599916,111.034776,27,25,443.2575684,2101.602539,353.9072266,606.7299805,480.5620117,0.789085919,0.416697315,0.207947477,5.816848429,0.87,0.92,19.80233383,0.879901167,-0.000499462,0.499037238,0.855339342,2.463818514,1201.777954,0.5,109.9465957,0.636029091,2.050914926,29.34822464,2,4.644859791,0,4.644859791,24.24090767,29.34822464,22.43309021,399.8505554,397.634491,20.05289268,20.30207443,66.7223587,67.5514679,500.1300354,1201.777954,0.043105546,101.1035995,-1.338975906,0.356590629,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,2.500650177,0.000636029,302.4982246,297.3909077,192.2844684,0.418238486,4.10352773,40.58735543,20.28528099,26.79456615,3.536201594,0.030399646,2.052612803,1.48358879,0.019017671,11.22601553,0.279238292,48.78867818,396.0973643,0.006514268,1658.344971,1057.445824,252.8227539,0.771799762,0.901424363,-1.05702,4.311297015,0.152193049,76.54267423,14.58106198,5.288694863,-0.039236742,0.075585335,41.58402742,-,0.574743731,-,0810qiwet6new,75.1,-,2.6,-,170.8,-,2.6,-
5 Q.ilex ,Q.ilex ,10,812,oldlicor,-1.19,10.56477825,0.0764,163,-,-,705,3498,575.9,979.7,775.9,0.798,0.412,0.208,-1.46,0.85,0.85,17,0.85,0.012,0.505,0.862,2.57,1200.6,0.5,106.125,1.28,1.68,-,2,,0,4.64,21.43,25.13,19.74,400.27,395.83,14.6,15.105,57.53,59.53,499.9,1201,0,100.9,-1.38,0.156,-,-,-,-,-,-,111115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.411792941,-,-,-,-,-,-,-,-,-1.46,3.757292966,0.24329765,119.5767353,11.31843305,10.6,-0.03522175,0.298138368,127.5641776,-,0.992369818,-,0812qiwet10,97.2,112.8,7.5,0.861702128,125.5,-,7.4,-
